STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-09,,103.4326,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-08,,104.7427,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-05,,50.43499,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-04,,49.00666,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-03,,48.71114,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-02,,48.7604,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-01,,49.30218,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-06,,52.45436,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-05,,51.42006,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-04,,50.77977,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-03,,50.48425,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-02,,50.33649,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1993-01,,50.92752,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1992-12,,51.17379,,A,Normal value,,,2015,,,,2,Two
